

Measurement ID,6347,
Battery Name,LG M50,
Battery Type,
Circuit,MCCD_1271,
Program,168 - MSM_Rate_2C,
Start Time,24/08/2020 10:59,
End Time,25/08/2020 04:31,
Test section,TS006040,
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
5,PAU,0.018,0.313,0,0,MSM_Rate_2C,3.15975,0,0,0,0,0,9.8
5,PAU,120.15,120.445,0,0,MSM_Rate_2C,3.15986,0,0,0,0,0,9.7
5,PAU,240.045,240.34,0,0,MSM_Rate_2C,3.15986,0,0,0,0,0,9.7
5,PAU,360.075,360.37,0,0,MSM_Rate_2C,3.15986,0,0,0,0,0,9.7
5,PAU,480.042,480.337,0,0,MSM_Rate_2C,3.15986,0,0,0,0,0,9.7
5,PAU,600.049,600.344,0,0,MSM_Rate_2C,3.15997,0,0,0,0,0,9.7
5,PAU,720.048,720.343,0,0,MSM_Rate_2C,3.15997,0,0,0,0,0,9.6
5,PAU,840.079,840.374,0,0,MSM_Rate_2C,3.15997,0,0,0,0,0,9.6
5,PAU,960.108,960.403,0,0,MSM_Rate_2C,3.15997,0,0,0,0,0,9.6
5,PAU,1080.08,1080.375,0,0,MSM_Rate_2C,3.16008,0,0,0,0,0,9.6
5,PAU,1200.068,1200.363,0,0,MSM_Rate_2C,3.16008,0,0,0,0,0,9.6
5,PAU,1320.035,1320.33,0,0,MSM_Rate_2C,3.16008,0,0,0,0,0,9.6
5,PAU,1440.062,1440.357,0,0,MSM_Rate_2C,3.16019,0,0,0,0,0,9.6
5,PAU,1560.113,1560.408,0,0,MSM_Rate_2C,3.16019,0,0,0,0,0,9.6
5,PAU,1680.057,1680.352,0,0,MSM_Rate_2C,3.16019,0,0,0,0,0,9.6
5,PAU,1800.083,1800.378,0,0,MSM_Rate_2C,3.1603,0,0,0,0,0,9.6
5,PAU,1920.047,1920.342,0,0,MSM_Rate_2C,3.1603,0,0,0,0,0,9.6
5,PAU,2040.094,2040.389,0,0,MSM_Rate_2C,3.1603,0,0,0,0,0,9.6
5,PAU,2160.079,2160.374,0,0,MSM_Rate_2C,3.1603,0,0,0,0,0,9.6
5,PAU,2280.07,2280.365,0,0,MSM_Rate_2C,3.16042,0,0,0,0,0,9.6
5,PAU,2400.058,2400.353,0,0,MSM_Rate_2C,3.16042,0,0,0,0,0,9.6
5,PAU,2520.123,2520.418,0,0,MSM_Rate_2C,3.16042,0,0,0,0,0,9.6
5,PAU,2640.035,2640.33,0,0,MSM_Rate_2C,3.16042,0,0,0,0,0,9.6
5,PAU,2760.057,2760.352,0,0,MSM_Rate_2C,3.16053,0,0,0,0,0,9.6
5,PAU,2880.06,2880.355,0,0,MSM_Rate_2C,3.16053,0,0,0,0,0,9.6
5,PAU,3000.057,3000.352,0,0,MSM_Rate_2C,3.16053,0,0,0,0,0,9.6
5,PAU,3120.123,3120.418,0,0,MSM_Rate_2C,3.16053,0,0,0,0,0,9.6
5,PAU,3240.195,3240.49,0,0,MSM_Rate_2C,3.16053,0,0,0,0,0,9.6
5,PAU,3360.046,3360.341,0,0,MSM_Rate_2C,3.16064,0,0,0,0,0,9.6
5,PAU,3480.104,3480.399,0,0,MSM_Rate_2C,3.16064,0,0,0,0,0,9.6
5,PAU,3600.106,3600.401,0,0,MSM_Rate_2C,3.16064,0,0,0,0,0,9.6
5,PAU,3720.035,3720.33,0,0,MSM_Rate_2C,3.16075,0,0,0,0,0,9.6
5,PAU,3840.117,3840.412,0,0,MSM_Rate_2C,3.16075,0,0,0,0,0,9.6
5,PAU,3960.133,3960.428,0,0,MSM_Rate_2C,3.16075,0,0,0,0,0,9.6
5,PAU,4080.19,4080.485,0,0,MSM_Rate_2C,3.16075,0,0,0,0,0,9.6
5,PAU,4200.068,4200.363,0,0,MSM_Rate_2C,3.16086,0,0,0,0,0,9.6
5,PAU,4320.13,4320.425,0,0,MSM_Rate_2C,3.16075,0,0,0,0,0,9.6
5,PAU,4440.054,4440.349,0,0,MSM_Rate_2C,3.16086,0,0,0,0,0,9.6
5,PAU,4560.051,4560.346,0,0,MSM_Rate_2C,3.16086,0,0,0,0,0,9.6
5,PAU,4680.032,4680.327,0,0,MSM_Rate_2C,3.16086,0,0,0,0,0,9.6
5,PAU,4800.056,4800.351,0,0,MSM_Rate_2C,3.16097,0,0,0,0,0,9.6
5,PAU,4920.114,4920.409,0,0,MSM_Rate_2C,3.16097,0,0,0,0,0,9.6
5,PAU,5040.084,5040.379,0,0,MSM_Rate_2C,3.16097,0,0,0,0,0,9.6
