DATE;FREQUENCE_RETENUE(EN Hz);
01/05/2018 00:00:00;50.0248;
01/05/2018 00:00:10;50.0120;
01/05/2018 00:00:20;50.0051;
01/05/2018 00:00:30;49.9964;
01/05/2018 00:00:40;49.9829;
01/05/2018 00:00:50;49.9827;
01/05/2018 00:01:00;49.9944;
01/05/2018 00:01:10;50.0171;
01/05/2018 00:01:20;50.0227;
01/05/2018 00:01:30;50.0264;
01/05/2018 00:01:40;50.0309;
01/05/2018 00:01:50;50.0228;
01/05/2018 00:02:00;50.0136;
01/05/2018 00:02:10;50.0292;
01/05/2018 00:02:20;50.0255;
01/05/2018 00:02:30;50.0241;
01/05/2018 00:02:40;50.0185;
01/05/2018 00:02:50;50.0209;
01/05/2018 00:03:00;50.0137;
01/05/2018 00:03:10;50.0209;
01/05/2018 00:03:20;50.0093;
01/05/2018 00:03:30;50.0058;
01/05/2018 00:03:40;50.0166;
01/05/2018 00:03:50;50.0055;
01/05/2018 00:04:00;50.0037;
01/05/2018 00:04:10;50.0237;
01/05/2018 00:04:20;50.0260;
01/05/2018 00:04:30;50.0201;
01/05/2018 00:04:40;50.0201;
01/05/2018 00:04:50;50.0112;
01/05/2018 00:05:00;50.0180;
01/05/2018 00:05:10;50.0049;
01/05/2018 00:05:20;50.0011;
01/05/2018 00:05:30;49.9997;
01/05/2018 00:05:40;49.9859;
01/05/2018 00:05:50;50.0039;
01/05/2018 00:06:00;50.0177;
01/05/2018 00:06:10;50.0064;
01/05/2018 00:06:20;50.0099;
01/05/2018 00:06:30;50.0084;
01/05/2018 00:06:40;50.0081;
01/05/2018 00:06:50;50.0002;
01/05/2018 00:07:00;50.0053;
01/05/2018 00:07:10;49.9992;
01/05/2018 00:07:20;49.9931;
01/05/2018 00:07:30;49.9903;
01/05/2018 00:07:40;49.9992;
01/05/2018 00:07:50;50.0042;
01/05/2018 00:08:00;50.0149;
01/05/2018 00:08:10;50.0263;
01/05/2018 00:08:20;50.0177;
01/05/2018 00:08:30;50.0129;
01/05/2018 00:08:40;50.0199;
01/05/2018 00:08:50;50.0221;
01/05/2018 00:09:00;50.0207;
01/05/2018 00:09:10;50.0222;
01/05/2018 00:09:20;50.0307;
01/05/2018 00:09:30;50.0289;
01/05/2018 00:09:40;50.0268;
01/05/2018 00:09:50;50.0217;
01/05/2018 00:10:00;50.0232;
01/05/2018 00:10:10;50.0198;
01/05/2018 00:10:20;50.0084;
01/05/2018 00:10:30;50.0020;
01/05/2018 00:10:40;50.0106;
01/05/2018 00:10:50;50.0256;
01/05/2018 00:11:00;50.0326;
01/05/2018 00:11:10;50.0274;
01/05/2018 00:11:20;50.0326;
01/05/2018 00:11:30;50.0158;
01/05/2018 00:11:40;50.0202;
01/05/2018 00:11:50;50.0182;
01/05/2018 00:12:00;50.0139;
01/05/2018 00:12:10;50.0130;
01/05/2018 00:12:20;50.0215;
01/05/2018 00:12:30;50.0093;
01/05/2018 00:12:40;50.0067;
01/05/2018 00:12:50;50.0171;
01/05/2018 00:13:00;50.0253;
01/05/2018 00:13:10;50.0254;
01/05/2018 00:13:20;50.0164;
01/05/2018 00:13:30;50.0307;
01/05/2018 00:13:40;50.0364;
01/05/2018 00:13:50;50.0416;
01/05/2018 00:14:00;50.0325;
01/05/2018 00:14:10;50.0295;
01/05/2018 00:14:20;50.0163;
01/05/2018 00:14:30;50.0099;
01/05/2018 00:14:40;50.0180;
01/05/2018 00:14:50;50.0320;
01/05/2018 00:15:00;50.0315;
01/05/2018 00:15:10;50.0111;
01/05/2018 00:15:20;50.0032;
01/05/2018 00:15:30;50.0120;
01/05/2018 00:15:40;50.0095;
01/05/2018 00:15:50;50.0090;
01/05/2018 00:16:00;50.0031;
01/05/2018 00:16:10;50.0042;
01/05/2018 00:16:20;50.0116;
